station_id,Model,MAE,RMSE,MAPE,R2,Time_s
500101001,Naive,8.425,10.543,99.544,-0.554,0.000
500101001,WeeklyAvg,7.116,9.756,52.350,-0.330,0.000
500101001,RandomForest,7.159,9.360,87.286,-0.225,0.094
500101001,LinearRegression,7.058,9.799,61.534,-0.342,0.016
500101001,Prophet,23.075,26.253,290.710,-8.633,0.604
500101001,ARIMA,8.989,11.427,87.111,-0.825,0.086
500101002,Naive,8.029,9.697,402748.163,-0.717,0.000
500101002,WeeklyAvg,7.308,9.325,223257.922,-0.587,0.000
500101002,RandomForest,7.466,9.438,454131.848,-0.626,0.080
500101002,LinearRegression,7.121,9.152,180147.546,-0.529,0.000
500101002,Prophet,19.951,22.988,1734381.125,-8.648,0.203
500101002,ARIMA,7.821,9.293,456609.673,-0.577,0.064
500101003,Naive,5.946,7.064,149.502,-0.025,0.000
500101003,WeeklyAvg,5.715,7.216,108.132,-0.069,0.000
500101003,RandomForest,6.549,7.799,162.117,-0.249,0.079
500101003,LinearRegression,6.604,8.023,162.259,-0.322,0.000
500101003,Prophet,35.557,40.553,708.544,-32.773,0.189
500101003,ARIMA,5.927,7.008,156.332,-0.008,0.023
500101004,Naive,2.940,3.340,95.306,-0.184,0.000
500101004,WeeklyAvg,2.585,3.340,52.606,-0.184,0.000
500101004,RandomForest,3.137,3.851,91.938,-0.574,0.079
500101004,LinearRegression,2.362,2.921,52.933,0.095,0.000
500101004,Prophet,6.519,7.597,175.060,-5.125,0.209
500101004,ARIMA,2.831,3.228,99.122,-0.106,0.086
500101005,Naive,3.055,3.726,136.721,-0.010,0.000
500101005,WeeklyAvg,2.916,3.879,81.103,-0.095,0.000
500101005,RandomForest,2.758,3.614,97.316,0.050,0.095
500101005,LinearRegression,2.919,3.864,82.862,-0.086,0.000
500101005,Prophet,3.449,4.114,162.604,-0.231,0.190
500101005,ARIMA,3.113,3.704,158.560,0.002,0.047
500101006,Naive,6.170,7.810,108.392,-0.152,0.000
500101006,WeeklyAvg,4.848,6.581,63.117,0.182,0.000
500101006,RandomForest,5.905,7.812,83.907,-0.153,0.081
500101006,LinearRegression,6.724,9.074,77.812,-0.555,0.002
500101006,Prophet,6.717,8.429,135.585,-0.342,0.199
500101006,ARIMA,6.324,8.573,84.506,-0.388,0.035
500101007,Naive,2.716,3.258,628582.745,-0.102,0.000
500101007,WeeklyAvg,2.549,3.222,596957.051,-0.078,0.001
500101007,RandomForest,3.058,3.828,1076426.660,-0.522,0.084
500101007,LinearRegression,2.893,3.629,774732.351,-0.368,0.003
500101007,Prophet,4.573,5.333,494683.707,-1.955,0.517
500101007,ARIMA,2.735,3.279,625845.341,-0.117,0.156
500101008,Naive,4.214,5.157,109.151,-0.173,0.000
500101008,WeeklyAvg,3.940,5.233,57.418,-0.208,0.000
500101008,RandomForest,3.956,4.750,92.730,0.005,0.094
500101008,LinearRegression,3.971,4.688,91.164,0.030,0.003
500101008,Prophet,7.911,9.585,120.003,-3.053,0.186
500101008,ARIMA,4.279,5.255,106.110,-0.218,0.030
500101009,Naive,4.303,5.317,103.105,-0.211,0.000
500101009,WeeklyAvg,4.654,6.095,97.233,-0.592,0.000
500101009,RandomForest,4.384,5.365,112.692,-0.233,0.075
500101009,LinearRegression,4.576,5.690,116.290,-0.387,0.002
500101009,Prophet,4.190,4.996,146.143,-0.070,0.167
500101009,ARIMA,4.174,4.912,124.988,-0.034,0.067
500101010,Naive,4.896,6.024,293.004,-0.120,0.000
500101010,WeeklyAvg,4.228,5.462,153.940,0.079,0.000
500101010,RandomForest,4.584,5.517,197.240,0.060,0.085
500101010,LinearRegression,3.926,5.098,258.095,0.198,0.002
500101010,Prophet,6.155,7.199,394.165,-0.600,0.176
500101010,ARIMA,4.819,5.919,305.546,-0.082,0.077
500101012,Naive,2.085,2.345,308463.527,-0.067,0.000
500101012,WeeklyAvg,1.662,2.066,177632.428,0.172,0.001
500101012,RandomForest,2.069,2.487,232044.844,-0.200,0.139
500101012,LinearRegression,2.025,2.434,324072.484,-0.150,0.003
500101012,Prophet,2.507,2.882,72338.923,-0.613,0.235
500101012,ARIMA,1.960,2.280,375725.702,-0.009,0.065
500101013,Naive,2.405,2.682,394365.859,-0.043,0.000
500101013,WeeklyAvg,2.236,2.736,97905.933,-0.086,0.002
500101013,RandomForest,2.236,2.686,185012.664,-0.046,0.071
500101013,LinearRegression,2.342,2.739,277892.498,-0.088,0.000
500101013,Prophet,2.267,2.818,317163.700,-0.151,0.190
500101013,ARIMA,2.369,2.648,419195.300,-0.017,0.073
500101014,Naive,2.236,2.715,131.761,-0.002,0.000
500101014,WeeklyAvg,1.830,2.310,105.418,0.275,0.000
500101014,RandomForest,2.020,2.448,129.200,0.185,0.076
500101014,LinearRegression,2.075,2.610,121.783,0.074,0.002
500101014,Prophet,2.196,2.656,150.932,0.041,0.168
500101014,ARIMA,2.293,2.725,144.727,-0.009,0.116
500101015,Naive,4.432,5.441,83.210,-0.305,0.000
500101015,WeeklyAvg,4.681,6.024,51.685,-0.599,0.001
500101015,RandomForest,3.888,4.826,71.551,-0.026,0.080
500101015,LinearRegression,4.172,5.217,68.565,-0.199,0.002
500101015,Prophet,4.094,4.779,116.147,-0.007,0.457
500101015,ARIMA,4.395,5.384,84.187,-0.277,0.042
500101016,Naive,1.535,1.879,154.768,-0.000,0.000
500101016,WeeklyAvg,1.812,2.208,151.803,-0.382,0.000
500101016,RandomForest,1.808,2.266,165.556,-0.455,0.078
500101016,LinearRegression,1.498,1.829,147.362,0.052,0.002
500101016,Prophet,1.636,2.028,162.182,-0.166,0.170
500101016,ARIMA,1.536,1.888,161.385,-0.010,0.077
500101018,Naive,1.210,1.413,202872.780,-0.004,0.000
500101018,WeeklyAvg,1.072,1.331,180456.688,0.109,0.001
500101018,RandomForest,1.192,1.458,64588.791,-0.069,0.081
500101018,LinearRegression,1.235,1.532,80441.091,-0.181,0.002
500101018,Prophet,3.228,3.730,586913.602,-5.996,0.184
500101018,ARIMA,1.192,1.397,203061.456,0.018,0.119
500101019,Naive,6.553,7.730,92.605,-0.189,0.000
500101019,WeeklyAvg,7.581,9.394,97.791,-0.756,0.001
500101019,RandomForest,7.410,8.859,132.256,-0.562,0.074
500101019,LinearRegression,7.273,8.842,126.681,-0.556,0.002
500101019,Prophet,35.142,37.685,539.407,-27.256,0.169
500101019,ARIMA,10.158,12.287,242.551,-2.004,0.035
500101020,Naive,0.000,0.000,0.000,1.000,0.000
500101020,WeeklyAvg,0.000,0.000,0.000,1.000,0.000
500101020,RandomForest,0.000,0.000,0.000,1.000,0.065
500101020,LinearRegression,0.000,0.000,0.000,1.000,0.004
500101020,Prophet,0.000,0.000,0.000,1.000,0.080
500101020,ARIMA,0.000,0.000,0.000,1.000,0.153
500101021,Naive,1.766,2.091,197290.412,-0.155,0.000
500101021,WeeklyAvg,1.460,1.886,250061.514,0.061,0.000
500101021,RandomForest,1.565,1.856,277142.532,0.090,0.073
500101021,LinearRegression,1.450,1.717,280832.931,0.221,0.001
500101021,Prophet,1.554,1.820,197214.970,0.125,0.189
500101021,ARIMA,1.701,1.959,217534.907,-0.014,0.079
500101022,Naive,18.991,23.696,197.972,-0.271,0.000
500101022,WeeklyAvg,17.913,24.137,91.196,-0.319,0.000
500101022,RandomForest,17.531,23.269,96.437,-0.226,0.074
500101022,LinearRegression,18.900,25.345,86.107,-0.454,0.001
500101022,Prophet,35.724,40.797,466.280,-2.768,0.176
500101022,ARIMA,18.920,23.108,364.444,-0.209,0.048
500101023,Naive,4.232,4.958,1903893.693,-0.309,0.000
500101023,WeeklyAvg,3.938,5.521,736711.243,-0.623,0.000
500101023,RandomForest,6.814,7.942,2275800.308,-2.360,0.081
500101023,LinearRegression,5.085,6.240,1495017.489,-1.074,0.001
500101023,Prophet,5.577,6.730,1158083.623,-1.412,0.168
500101023,ARIMA,3.270,4.454,1042994.754,-0.057,0.040
500101024,Naive,9.425,11.032,2952674.970,-0.030,0.000
500101024,WeeklyAvg,6.376,9.845,1203202.889,0.180,0.001
500101024,RandomForest,7.413,10.655,2738577.243,0.039,0.078
500101024,LinearRegression,7.664,10.364,2244432.777,0.091,0.002
500101024,Prophet,8.140,9.589,1883380.374,0.222,0.170
500101024,ARIMA,7.541,12.004,1209401.792,-0.219,0.037
500101025,Naive,15.971,19.344,366.844,-0.023,0.000
500101025,WeeklyAvg,8.951,13.964,153.198,0.467,0.001
500101025,RandomForest,10.037,14.241,228.794,0.446,0.074
500101025,LinearRegression,17.815,22.382,349.056,-0.369,0.002
500101025,Prophet,13.180,15.316,327.747,0.359,0.170
500101025,ARIMA,14.282,23.776,64.429,-0.545,0.037
500101026,Naive,8.066,8.597,1107.607,-0.391,0.000
500101026,WeeklyAvg,4.932,6.590,326.819,0.182,0.001
500101026,RandomForest,7.432,8.623,596.200,-0.400,0.077
500101026,LinearRegression,6.671,8.407,667.489,-0.331,0.001
500101026,Prophet,8.600,10.861,877.580,-1.221,0.176
500101026,ARIMA,5.399,8.339,285.790,-0.309,0.033
500101027,Naive,9.827,10.944,360.906,-0.229,0.000
500101027,WeeklyAvg,6.851,8.488,127.388,0.261,0.000
500101027,RandomForest,6.756,8.789,144.100,0.207,0.074
500101027,LinearRegression,6.287,7.697,131.481,0.392,0.002
500101027,Prophet,19.336,21.541,482.961,-3.762,0.166
500101027,ARIMA,8.329,11.295,139.668,-0.309,0.046
500101028,Naive,3.838,4.557,515784.658,-0.000,0.000
500101028,WeeklyAvg,3.414,4.509,235564.425,0.021,0.000
500101028,RandomForest,3.381,4.589,572414.292,-0.014,0.076
500101028,LinearRegression,3.560,4.613,722771.046,-0.025,0.002
500101028,Prophet,6.349,7.426,661427.104,-1.656,0.182
500101028,ARIMA,5.565,7.146,60950.883,-1.460,0.054
500101029,Naive,2.635,3.364,412555.186,-0.027,0.000
500101029,WeeklyAvg,2.817,3.396,124414.684,-0.047,0.000
500101029,RandomForest,3.573,4.388,763127.474,-0.747,0.071
500101029,LinearRegression,3.189,3.924,496833.804,-0.398,0.002
500101029,Prophet,2.956,3.843,499121.571,-0.340,0.161
500101029,ARIMA,2.714,3.394,519728.571,-0.046,0.089
500101030,Naive,6.247,7.730,199.513,-0.068,0.000
500101030,WeeklyAvg,5.251,6.990,128.710,0.127,0.001
500101030,RandomForest,6.088,7.859,181.971,-0.104,0.076
500101030,LinearRegression,6.887,8.781,161.849,-0.378,0.002
500101030,Prophet,20.345,22.573,520.895,-8.106,0.182
500101030,ARIMA,17.917,19.126,570.021,-5.537,0.030
500101031,Naive,6.128,6.794,483.600,-0.019,0.000
500101031,WeeklyAvg,4.034,5.301,134.042,0.380,0.000
500101031,RandomForest,4.262,5.330,194.007,0.373,0.097
500101031,LinearRegression,4.042,5.214,156.033,0.400,0.002
500101031,Prophet,4.058,4.887,152.393,0.473,0.174
500101031,ARIMA,11.759,13.545,1111.464,-3.050,0.040
500101032,Naive,24.101,25.209,850.754,-0.001,0.000
500101032,WeeklyAvg,5.084,7.879,82.698,0.902,0.000
500101032,RandomForest,6.748,9.783,230.930,0.849,0.074
500101032,LinearRegression,6.126,9.062,162.114,0.871,0.002
500101032,Prophet,29.374,33.477,863.162,-0.766,0.180
500101032,ARIMA,31.099,40.015,1719.834,-1.523,0.032
500101033,Naive,13.538,14.389,1518.026,-0.000,0.000
500101033,WeeklyAvg,3.259,5.034,91.335,0.878,0.001
500101033,RandomForest,4.814,6.854,256.312,0.773,0.082
500101033,LinearRegression,4.552,6.072,379.639,0.822,0.001
500101033,Prophet,34.068,36.467,4119.110,-5.423,0.183
500101033,ARIMA,16.896,20.578,2969.880,-1.045,0.040
500101034,Naive,3.381,4.100,392608.976,-0.048,0.000
500101034,WeeklyAvg,2.571,3.773,98172.110,0.113,0.001
500101034,RandomForest,2.919,4.194,137497.343,-0.096,0.077
500101034,LinearRegression,2.610,3.518,192054.019,0.229,0.001
500101034,Prophet,2.859,3.607,151313.621,0.189,0.178
500101034,ARIMA,2.980,4.768,103912.095,-0.416,0.035
500101035,Naive,6.053,7.246,2444238.970,-0.042,0.000
500101035,WeeklyAvg,5.016,6.651,1158577.673,0.122,0.000
500101035,RandomForest,5.933,7.192,2043431.885,-0.026,0.074
500101035,LinearRegression,5.136,6.306,1974954.370,0.211,0.002
500101035,Prophet,5.456,6.305,2039770.592,0.211,0.164
500101035,ARIMA,6.989,9.568,788968.563,-0.817,0.046
500101036,Naive,3.371,4.357,399534.963,-0.042,0.000
500101036,WeeklyAvg,3.652,4.927,63669.811,-0.332,0.001
500101036,RandomForest,3.495,4.716,172661.756,-0.221,0.077
500101036,LinearRegression,3.779,4.833,269939.725,-0.282,0.001
500101036,Prophet,3.880,4.923,316805.671,-0.330,0.172
500101036,ARIMA,4.773,6.340,81543.624,-1.206,0.039
500101037,Naive,4.695,5.606,243.705,-0.000,0.001
500101037,WeeklyAvg,3.641,4.730,153.029,0.288,0.000
500101037,RandomForest,5.031,6.203,260.839,-0.225,0.077
500101037,LinearRegression,4.360,5.430,204.094,0.061,0.001
500101037,Prophet,3.488,4.254,202.969,0.424,0.176
500101037,ARIMA,5.293,7.704,77.168,-0.890,0.040
500101038,Naive,5.928,7.590,1400520.891,-0.127,0.000
500101038,WeeklyAvg,5.706,7.552,568552.038,-0.116,0.001
500101038,RandomForest,5.058,6.593,945717.492,0.149,0.073
500101038,LinearRegression,5.397,7.237,571149.551,-0.025,0.002
500101038,Prophet,7.280,9.078,1946257.030,-0.612,0.178
500101038,ARIMA,7.753,10.511,110180.614,-1.161,0.037
500101039,Naive,5.248,6.840,1819052.852,-0.002,0.000
500101039,WeeklyAvg,4.200,5.867,583504.485,0.262,0.000
500101039,RandomForest,4.865,6.439,1099702.613,0.112,0.079
500101039,LinearRegression,4.691,6.387,735873.810,0.126,0.002
500101039,Prophet,6.407,7.740,1024822.022,-0.284,0.186
500101039,ARIMA,5.061,6.800,1036764.656,0.009,0.114
500101040,Naive,5.169,5.778,6011283.936,-0.143,0.000
