station_id,Model,MAE,RMSE,MAPE,R2,Time_s
500101001,Naive,6.676,8.494,134.806,-0.241,0.001
500101001,WeeklyAvg,4.222,5.998,50.238,0.381,0.001
500101001,RandomForest,5.044,7.006,104.937,0.156,0.098
500101001,LinearRegression,3.668,5.510,52.627,0.478,0.011
500101001,Prophet,8.606,11.489,82.846,-1.270,0.470
500101001,ARIMA,7.022,9.193,111.516,-0.453,0.079
500101002,Naive,4.565,6.476,264.719,-0.101,0.000
500101002,WeeklyAvg,3.564,4.728,79.742,0.413,0.000
500101002,RandomForest,4.577,5.776,184.630,0.124,0.104
500101002,LinearRegression,3.039,3.626,144.818,0.655,0.000
500101002,Prophet,9.904,12.390,342.048,-3.030,0.368
500101002,ARIMA,4.606,6.316,301.815,-0.047,0.069
500101003,Naive,4.305,4.820,120.288,-0.426,0.000
500101003,WeeklyAvg,4.490,5.405,72.157,-0.794,0.000
500101003,RandomForest,7.553,8.697,166.533,-3.645,0.080
500101003,LinearRegression,6.939,7.423,150.053,-2.384,0.000
500101003,Prophet,6.962,9.268,155.690,-4.275,0.196
500101003,ARIMA,4.490,5.081,127.869,-0.585,0.036
500101004,Naive,2.857,3.130,195.860,-0.007,0.000
500101004,WeeklyAvg,1.637,2.080,47.622,0.556,0.000
500101004,RandomForest,2.577,3.106,136.806,0.008,0.092
500101004,LinearRegression,1.760,2.238,76.309,0.485,0.000
500101004,Prophet,3.062,3.706,262.351,-0.411,0.196
500101004,ARIMA,2.596,3.036,205.487,0.053,0.073
500101005,Naive,2.668,2.823,168.639,-1.664,0.000
500101005,WeeklyAvg,2.120,2.966,110.553,-1.939,0.000
500101005,RandomForest,2.342,2.849,123.118,-1.714,0.079
500101005,LinearRegression,2.857,3.439,149.065,-2.953,0.000
500101005,Prophet,2.226,2.714,108.521,-1.463,0.217
500101005,ARIMA,3.094,3.326,199.860,-2.698,0.042
500101006,Naive,5.890,7.449,146.713,-0.015,0.000
500101006,WeeklyAvg,4.729,6.609,69.484,0.201,0.000
500101006,RandomForest,6.040,8.252,104.231,-0.246,0.096
500101006,LinearRegression,5.309,7.477,88.523,-0.023,0.000
500101006,Prophet,4.056,4.918,143.307,0.558,0.196
500101006,ARIMA,5.411,7.837,104.184,-0.124,0.048
500101007,Naive,1.927,2.483,64.956,-0.023,0.000
500101007,WeeklyAvg,2.009,2.564,55.728,-0.091,0.000
500101007,RandomForest,2.487,3.171,81.398,-0.669,0.096
500101007,LinearRegression,2.053,2.574,66.061,-0.099,0.000
500101007,Prophet,4.075,4.530,180.778,-2.406,0.207
500101007,ARIMA,2.014,2.589,65.531,-0.112,0.127
500101008,Naive,2.561,3.171,268.935,-0.246,0.000
500101008,WeeklyAvg,3.307,4.135,86.925,-1.119,0.000
500101008,RandomForest,4.654,5.213,275.866,-2.368,0.079
500101008,LinearRegression,4.773,5.298,202.858,-2.478,0.000
