station_id,Model,MAE,RMSE,MAPE,R2,Time_s
500101001,Naive,8.425,10.543,99.544,-0.554,0.001
500101001,WeeklyAvg,7.116,9.756,52.35,-0.33,0.002
500101001,RandomForest,7.255,9.362,87.07,-0.225,0.125
500101001,LinearRegression,7.352,9.97,66.005,-0.389,0.013
500101001,Prophet,24.296,27.51,310.311,-9.578,0.72
500101001,ARIMA,8.989,11.427,87.111,-0.825,0.081
500101002,Naive,8.029,9.697,402748.163,-0.717,0
500101002,WeeklyAvg,7.308,9.325,223257.922,-0.587,0
500101002,RandomForest,8.049,9.871,605335.509,-0.779,0.088
500101002,LinearRegression,7.691,9.786,123811.428,-0.748,0.002
500101002,Prophet,27.063,30.409,2536804.81,-15.882,0.204
500101002,ARIMA,7.821,9.293,456609.673,-0.577,0.067
500101003,Naive,5.946,7.064,149.502,-0.025,0
500101003,WeeklyAvg,5.715,7.216,108.132,-0.069,0
500101003,RandomForest,6.748,8.109,166.339,-0.35,0.091
500101003,LinearRegression,6.536,7.853,152.72,-0.266,0.003
500101003,Prophet,36.456,41.44,724.757,-34.266,0.222
500101003,ARIMA,5.927,7.008,156.332,-0.008,0.036
500101004,Naive,2.94,3.34,95.306,-0.184,0
500101004,WeeklyAvg,2.585,3.34,52.606,-0.184,0.001
500101004,RandomForest,3.139,3.914,78.926,-0.626,0.094
500101004,LinearRegression,2.874,3.677,58.787,-0.435,0.001
500101004,Prophet,7.129,8.33,191.928,-6.364,0.205
500101004,ARIMA,2.831,3.228,99.122,-0.106,0.084
500101005,Naive,3.055,3.726,136.721,-0.01,0
500101005,WeeklyAvg,2.916,3.879,81.103,-0.095,0
500101005,RandomForest,3.116,3.995,98.621,-0.161,0.089
500101005,LinearRegression,3.336,4.241,97.148,-0.308,0.003
500101005,Prophet,6.583,7.58,213.033,-3.179,0.243
500101005,ARIMA,3.113,3.704,158.56,0.002,0.043
500101006,Naive,6.17,7.81,108.392,-0.152,0
500101006,WeeklyAvg,4.848,6.581,63.117,0.182,0.001
500101006,RandomForest,6.109,8.124,87.656,-0.247,0.092
500101006,LinearRegression,6.988,9.269,87.455,-0.623,0.002
500101006,Prophet,7.087,8.841,148.929,-0.477,0.205
500101006,ARIMA,6.324,8.573,84.506,-0.388,0.042
500101007,Naive,2.716,3.258,628582.745,-0.102,0
500101007,WeeklyAvg,2.549,3.222,596957.051,-0.078,0
500101007,RandomForest,3.134,3.885,1005935.907,-0.568,0.085
500101007,LinearRegression,3.112,4.045,751256.004,-0.7,0.002
500101007,Prophet,4.604,5.39,357695.82,-2.018,0.222
500101007,ARIMA,2.735,3.279,625845.341,-0.117,0.136
